001+Diagnosis and Treatment of Terminal Delirium,2nd ed+David E Weissman MD,,,,,,,
Non-Pain Symptoms,,,,,,,,
002+Converting to/from Transdermal Fentanyl,2nd ed+David E Weissman MD,,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
003+Syndrome of Imminent Death,2nd ed+David E Weissman MD,,,,,,,
Misc Syndromes+Prognosis,,,,,,,,
004+Death Pronouncement in the Hospital,2nd ed+David E Weissman MD and Charlotte A Heidenreich MD,,,,,,,
Communication - Basic,,,,,,,,
005+The Causes of Nausea and Vomiting (V.O.M.I.T.),2nd ed+James Hallenbeck MD,,,,,,,
Non-Pain Symptoms,,,,,,,,
006+Delivering Bad News-Part 1,2nd ed+Bruce Ambuel PhD and David E Weissman MD,,,,,,,
Communication - Basic,,,,,,,,
007+Depression in Advanced Cancer,2nd ed+Eric Warm MD and David E Weissman MD,,,,,,,
Non-Pain Symptoms,,,,,,,,
008+Morphine and Hastened Death,2nd ed+Charles F von Gunten MD,,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
009+Hospice & Palliative Medicine Recertification Exam,2nd ed+David E Weissman MD,,,,,,,
,,,,,,,,
010+Tube Feed or Not Tube Feed?,2nd ed+James Hallenbeck MD,,,,,,,
Nutrition/Hydration,,,,,,,,
011+Delivering Bad News-Part 2,2nd ed+Bruce Ambuel PhD and David E Weissman MD,,,,,,,
Communication - Basic,,,,,,,,
012+Myths About Advance Directives,2nd ed+Eric Warm MD,,,,,,,
Ethics,,,,,,,,
013+Determining Prognosis in Advanced Cancer,2nd ed+David E Weissman MD,,,,,,,
Prognosis,,,,,,,,
014+Palliative Chemotherapy,2nd ed+David E Weissman MD,,,,,,,
Misc Interventions,,,,,,,,
015+Constipation,2nd ed+James Hallenbeck MD,,,,,,,
Non-Pain Symptoms,,,,,,,,
016+Moderating an End-of-Life Family Conference,2nd ed+Bruce Ambuel PhD and David E Weissman MD,,,,,,,
Communication - Advanced,,,,,,,,
017+Patient-Centered Interviewing,2nd ed+Bruce Ambuel PhD,,,,,,,
Communication - Basic,,,,,,,,
018+Short-Acting Oral Opioid Dosing Intervals,2nd ed+David E Weissman MD,,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
019+Taking A Spiritual History,2nd ed+Bruce Ambuel PhD,,,,,,,
Culture/Spiritual/Grief,,,,,,,,
020+Opioid Dose Escalation,2nd ed+David E Weissman MD,,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
021+Hope and Truth Telling,2nd ed+Eric Warm MD and David E Weissman MD,,,,,,,
Communication - Advanced,,,,,,,,
022+Writing a Condolence Letter,2nd ed+Ron Wolfson PhD and Elizabeth Menkin MD,,,,,,,
Communication - Basic,,,,,,,,
023+Discussing DNR Orders-Part 1,2nd ed+Charles F von Gunten MD,PhD and David E Weissman MD,,,,,,
Communication - Advanced,,,,,,,,
024+Discussing DNR Orders-Part 2,2nd ed+Charles F von Gunten MD,PhD and David E Weissman MD,,,,,,
Communication - Advanced,,,,,,,,
025+Opioids and Nausea,2nd ed+David E Weissman MD,,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
026+The Explanatory Model,2nd ed+James Hallenbeck MD,,,,,,,
Communication - Basic,,,,,,,,
027+Dyspnea at End of Life,2nd ed+David E Weissman MD,,,,,,,
Non-Pain Symptoms,,,,,,,,
028+Subcutaneous Opioid Infusions,2nd ed+David E Weissman MD,,,,,,,
Pain (all)+Opioids Advanced,,,,,,,,
029+Responding to Patient Emotion,2nd ed+Bruce Ambuel PhD,,,,,,,
Communication - Basic,,,,,,,,
030+Prognostication,2nd ed+Eric J. Warm M.D.,,,,,,,
Prognosis,,,,,,,,
031+Confronting Personal Mortality,2nd ed+Eric Warm MD,,,,,,,
Clinician Self Care,,,,,,,,
032+Grief and Bereavement,2nd ed+James Hallenbeck MD,,,,,,,
Culture/Spiritual/Grief,,,,,,,,
033+Ventilator Withdrawal Protocol,2nd ed+Charles von Gunten MD,PhD and David E Weissman MD,,,,,,
Misc Interventions,,,,,,,,
034+Symptom Control for Ventilator Withdrawal in the Dying Patient,2nd ed+Charles von Gunten MD,PhD and David E Weissman MD,,,,,,
Misc Interventions,,,,,,,,
035+Information for Patients and Families About Ventilator Withdrawal,2nd ed+Charles von Gunten MD,PhD and David E Weissman MD,,,,,,
Misc Interventions,,,,,,,,
036+Calculating Opioid Dose Conversions,2nd ed+Robert Arnold MD and David E Weissman MD,,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
037+Pruritus,2nd ed+Charles von Gunten MD and Frank Ferris MD,,,,,,,
Non-Pain Symptoms,,,,,,,,
038+Discussing Hospice,2nd ed+Charles F von Gunten MD,PhD,FACP,,,,,
Hospice,,,,,,,,
039+Using Naloxone,2nd ed+Colleen J Dunwoody MS,RN and Robert Arnold MD,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
040+Pressure Ulcer Management: Prevention (Part 1),2nd ed+Frank Ferris MD and Charles F von Gunten MD,,,,,,,
Non-Pain Symptoms,,,,,,,,
041+Pressure Ulcer Management: Debridement & Dressings (Part 2),2nd ed+Charles von Gunten,MD and Frank Ferris,MD,,,,,
Non-Pain Symptoms,,,,,,,,
042+Broaching the Topic of a Palliative Care Consultation with Patients and Families,2nd ed+Robert Arnold MD and David E Weissman MD,,,,,,,
Communication - Advanced,,,,,,,,
043+Is It Grief of Depression?,2nd ed+VJ Periyakoil MD,,,,,,,
Non-Pain Symptoms+Culture/Spiritual/Grief,,,,,,,,
044+Changing the Status Quo-Quality Improvement,2nd ed+Joanne Lynn MD,Sarah Myers MPH,and David E Weissman MD,,,,,
Palliative Care Practice,,,,,,,,
045+Medical Management of Bowel Obstruction,2nd ed+Charles F von Gunten MD,PhD and J Cameron Muir MD,,,,,,
Misc Syndromes,,,,,,,,
046+Malignant Wounds,2nd ed+Frank Ferris MD and Charles F von Gunten MD,,,,,,,
Non-Pain Symptoms,,,,,,,,
047+What Do I Tell The Children,2nd ed+Paula Rauch and Robert Arnold MD,,,,,,,
Communication - Advanced,,,,,,,,
048+Coding and Billing for Physician Services in Palliative Care,2nd ed+Charles F von Gunten MD,PhD,,,,,,
Palliative Care Practice,,,,,,,,
049+Gabapentin for Neuropathic Pain,2nd ed+Anita Kishore,Linda King MD,and David E Weissman MD,,,,,
Pain (all),,,,,,,,
050+Disaster: Coping with Tragedy,2nd ed+Bruce Ambuel PhD,,,,,,,
Clinician Self Care,,,,,,,,
051+Choosing an Oral Opioid Combination Product,2nd ed+David E Weissman MD,,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
052+Quality of Life+Victor T Chang MD and David E Weissman MD,,,,,,,,
Communication - Basic,,,,,,,,
053+Sublingual Morphine,2nd ed+Debra Gordon RN,MS,FAAN,,,,,
Pain (all)+Opioids Basic,,,,,,,,
054+Opioid Infusions in the Imminently Dying Patient,2nd ed+Elizabeth Weinstein,Robert Arnold MD,and David E Weissman MD,,,,,
Pain (all)+Opioids Basic,,,,,,,,
055+Decision Making Capacity,2nd ed+Robert Arnold MD,,,,,,,
Ethics,,,,,,,,
056+What to do When a Patient Refuses Treatment,2nd ed+Robert Arnold MD,,,,,,,
Ethics,,,,,,,,
057+Neuroexcitatory Effects of Opioids: Patient Assessment,2nd ed+Robin K Wilson PhD and David E Weissman MD,,,,,,,
Pain (all)+Opioids Advanced,,,,,,,,
058+Neuroexcitatory Effects of Opioids: Treatment,2nd ed+Robin K Wilson PhD and David E Weissman MD,,,,,,,
Pain (all)+Opioids Advanced,,,,,,,,
059+Dealing with Anger,2nd ed+Rebekah Wang-Cheng MD,FACP,,,,,,
Communication - Basic,,,,,,,,
060+Pharmacologic Management of Delirium; Update on Newer Agents,2nd ed+Earl Quijada MD and J Andrew Billings MD,,,,,,,
Non-Pain Symptoms,,,,,,,,
061+Use of Psycho-Stimulants in Palliative Care,2nd ed+Vicki Jackson MD and Susan Block MD,,,,,,,
Non-Pain Symptoms,,,,,,,,
062+Preventing Neurologic Deficits: Early Diagnosis of Epidural Metastases,2nd ed+David E Weissman MD,,,,,,,
Misc Syndromes+Special Conditions,,,,,,,,
063+The Legal Liability of Under-Treatment of Pain,2nd ed+Eric J Warm MD and David E Weissman MD,,,,,,,
Pain (all),,,,,,,,
064+Informing Significant Others of a Patient's Death,2nd ed+Diane Midland BSW,MS,,,,,,
Communication - Basic,,,,,,,,
065+Establishing End-of-Life Goals: The Living Will Interview,2nd ed+Bruce Ambuel PhD,,,,,,,
Communication - Advanced,,,,,,,,
066+Radiation for Palliation - Part 1,2nd ed+Carolyn Rutter MD and David E Weissman MD,,,,,,,
Misc Interventions,,,,,,,,
067+Radiation for Palliation - Part 2,2nd ed+Carolyn Rutter MD and David E Weissman MD,,,,,,,
Misc Interventions,,,,,,,,
068+Is it Pain or Addiction?,2nd ed+David E Weissman MD,,,,,,,
Pain (all),,,,,,,,
069+Pseudoaddiction,2nd ed+David E Weissman MD,,,,,,,
Pain (all),,,,,,,,
070+PRN Range Analgesic Orders,2nd ed+Debra B Gordon RN,MS,FAAN,,,,,
Pain (all)+Opioids Basic,,,,,,,,
071+Meperidine for Pain: What's all the fuss?,2nd ed+David E Weissman MD,,,,,,,
Pain (all),,,,,,,,
072+Opioid Infusion Titration Orders,2nd ed+David E Weissman MD,,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
073+Amyotrophic Lateral Sclerosist (ALS) Management of Respiratory Failure,2nd ed+Ajmal Gilani MD,Albert Hinn MD,Peter Lars Jacobson MD,,,,,
Special Conditions,,,,,,,,
074+Oral Opioid Orders - Good and Bad Examples,2nd ed+David E Weissman MD,,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
075+Methadone for the Treatment of Pain,2nd ed+Gail Gazelle MD and Perry G Fine MD,,,,,,,
Pain (all),,,,,,,,
076+Telephone Notification of Death - Part 1,2nd ed+Rosalia R Osias MD,Daniel H Pomerantz MD,Jeffrey M Brensilver MD,FACP,,,,
Communication - Basic,,,,,,,,
077+Telephone Notification of Death - Part 2,2nd ed+Rosalia R Osias MD,Daniel H Pomerantz MD,Jeffrey M Brensilver MD,FACP,,,,
Communication - Basic,,,,,,,,
078+Cultural Aspects of Pain Management,2nd ed+Debra Gordon RN,MS,FAAN and Shiva Bidar-Sielaff,,,,,
Pain (all),,,,,,,,
079+Discussing Organ Donation with Families,2nd ed+Robert Arnold MD,,,,,,,
Communication - Basic,,,,,,,,
080+Controlled Release Oxycondone,2nd ed+David E Weissman MD,,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
081+Management of Hiccups,2nd ed+Chad Farmer MD,,,,,,,
,,,,,,,,
082+Medicare Hospice Benefit: Part 1 Eligibility and Treatment Plan,2nd ed+Robin Turner MD and Drew A Rosielle MD,,,,,,,
Hospice,,,,,,,,
083+Why Patients Do Not Take Their Opioids,2nd ed+Robert Arnold MD,,,,,,,
Opioids Advanced,,,,,,,,
084+Swallow Studies,Tube Feeding and the Death Spiral,2nd ed+David E Weissman MD,,,,,,
Nutrition/Hydration,,,,,,,,
085+Epidural Analgesia,2nd ed+Debra Gordon RN and Mark Schroeder MD,,,,,,,
Pain (all),,,,,,,,
086+Methadone: Starting Dosing Information,2nd ed+Charles F von Gunten MD,,,,,,,
Pain (all)+Opioids Advanced,,,,,,,,
087+Medicare Hospice Benefit Part II: Places of Care and Funding,2nd ed+Robin Turner MD and Drew A Rosielle MD,,,,,,,
Hospice,,,,,,,,
088+Nightmares,2nd ed+Seema Malhotra MD,Robert Arnold MD,and Kevin Patterson MD,,,,,
Non-Pain Symptoms,,,,,,,,
089+Pain Management in Nursing Homes: Analgesic Prescribing Tips,2nd ed+Solomon Liao MD and David E Weissman MD,,,,,,,
Pain (all)+Palliative Care Practice,,,,,,,,
090+Medicare Hospice Benefit Part III: Special Interventions,2nd ed+Robin Turner MD and Drew A Rosielle MD,,,,,,,
Hospice,,,,,,,,
091+Interventional Options for Malignant Upper GI Obstruction,2nd ed+James Ouellette DO,Lisa Patterson MD,and Paula Termuhlen MD,,,,,
Misc Syndromes+Misc Interventions,,,,,,,,
092+Patient Controlled Analgesia in Palliative Care,2nd ed+Eric Prommer MD,,,,,,,
Pain (all),,,,,,,,
093+Cannabinoids in the Treatment of Symptoms in Cancer and AIDS,2nd ed+L Scott Wilner MD and Robert M Arnold MD,,,,,,,
Non-Pain Symptoms,,,,,,,,
094+Writing Discharge/Outpatient Opioid Prescriptions,2nd ed+Colleen Dunwoody MS,RN and Robert Arnold MD,,,,,,
Pain (all)+Palliative Care Practice,,,,,,,,
095+Opioid Withdrawal,2nd ed+Debra Gordon RN and June Dahl PhD,,,,,,,
Pain (all)+Opioids Basic,,,,,,,,
096+Diarrhea in Palliative Care,2nd ed+Jeffrey Alderman MD,,,,,,,
Non-Pain Symptoms,,,,,,,,
097+Blocks of the Sympathetic Axis for Visceral Pain,2nd ed+Gary M. Reisfield MD and George R Wilson MD,,,,,,,
Pain (all)+Misc Interventions,,,,,,,,
098+Intrathecal Drug Therapy for Pain,2nd ed+Gary M Reisfield MD and George R Wilson MD,,,,,,,
Pain (all),,,,,,,,
099+Chemotherapy: Response and Survival Data,2nd ed+David E Weissman MD and Charles F von Gunten MD,,,,,,,
Prognosis,,,,,,,,
100+Megestrol Acetate for Cancer Anorexia/Cachexia+Mike Salacz MD,,,,,,,,
Nutrition/Hydration,,,,,,,,
101+Insomnia: Patient Assessment 2nd Edition+Robert Arnold MD,Michael Miller,and Rohtesh Mehta MD MPH,,,,,,
Non-Pain Symptoms,,,,,,,,
102+Highly Active Antiretroviral Therapy and Hospice+Mitchell Cohen MD and Gregg VandeKieft MD,MA,,,,,,,
Hospice,,,,,,,,
103+Oral Transmucosal Fentanyl Citrate,2nd ed+Debra Gordon RN,MS,FAAN and Mark Schroeder MD,,,,,
Pain (all)+Opioids Advanced,,,,,,,,
104+Insomnia: Non-Pharmacologic Treatments,2nd Edition+Robert Arnold MD,Michael Miller,and Rohtesh Mehta,MD MPH,,,,
Non-Pain Symptoms,,,,,,,,
105+Insomnia: Pharmacological Therapies 2nd Edition+Robert Arnold MD,Michael Miller,and Rohtesh Mehta MD MPH,,,,,,
Non-Pain Symptoms,,,,,,,,
106+Controlled Sedation for Refractory Suffering - Part I+Michael E Salacz MD and David E Weissman MD,,,,,,,,
Misc Interventions,,,,,,,,
107+Controlled Sedation for Refractory Suffering - Part II+Michael E Salacz MD and David E Weissman MD,,,,,,,,
Misc Interventions,,,,,,,,
108+Music Therapy+Brooke Rossi and Robert Arnold MD,,,,,,,,
